trade_id,slug,entry_time,exit_time,direction,entry_price,exit_price,position_notional,quantity,p_model_up,p_market_up,alpha,gross_pnl,fees_paid,net_pnl,gross_return_pct,net_return_pct,hold_seconds,exit_type,timestamp,capital_before,capital_after,cumulative_pnl,drawdown,drawdown_pct,trade_return,rolling_avg_return_30,rolling_win_rate_30,rolling_sharpe_30
164,btc-updown-15m-1765682100,2025-12-14T03:26:01+00:00,2025-12-14T03:26:07+00:00,UP,0.29,0.285,100.0,344.827586,0.332083,0.29,0.042083,-1.724138,10.171241,-11.895379,-1.7241,-11.8954,6,stop_loss,2025-12-14T03:26:07+00:00,8120.616028999999,8108.720649999999,-1891.279350000001,-1904.9564260000006,-0.19023545612087409,-0.11895379,-0.08830416,0.03333333333333333,-8.166154602230245
165,btc-updown-15m-1765682100,2025-12-14T03:26:29+00:00,2025-12-14T03:26:30+00:00,UP,0.225,0.235,100.0,444.444444,0.326526,0.225,0.101526,4.444444,11.3328,-6.888356,4.4444,-6.8884,1,success,2025-12-14T03:26:30+00:00,8108.720649999999,8101.832293999999,-1898.1677060000009,-1911.844782000001,-0.19092335088198134,-0.06888356,-0.08408473766666666,0.03333333333333333,-8.263072967419374
166,btc-updown-15m-1765682100,2025-12-14T03:26:35+00:00,2025-12-14T03:26:43+00:00,UP,0.215,0.195,100.0,465.116279,0.270239,0.215,0.055239,-9.302326,10.908837,-20.211163,-9.3023,-20.2112,8,stop_loss,2025-12-14T03:26:43+00:00,8101.832293999999,8081.621130999999,-1918.3788690000008,-1932.055945000001,-0.19294170666144228,-0.20211163,-0.08965992066666667,0.03333333333333333,-8.335329120252194
167,btc-updown-15m-1765682100,2025-12-14T03:26:46+00:00,2025-12-14T03:26:47+00:00,UP,0.195,0.175,100.0,512.820513,0.270859,0.195,0.075859,-10.25641,11.126769,-21.383179,-10.2564,-21.3832,1,stop_loss,2025-12-14T03:26:47+00:00,8081.621130999999,8060.2379519999995,-1939.7620480000007,-1953.4391240000004,-0.19507710396232478,-0.21383179,-0.09331708766666667,0.03333333333333333,-8.099968372872603
168,btc-updown-15m-1765682100,2025-12-14T03:26:48+00:00,2025-12-14T03:26:49+00:00,UP,0.17,0.145,100.0,588.235294,0.239155,0.17,0.069155,-14.705882,11.226706,-25.932588,-14.7059,-25.9326,1,stop_loss,2025-12-14T03:26:49+00:00,8060.2379519999995,8034.305364,-1965.6946360000006,-1979.3717120000001,-0.19766682078694187,-0.25932588,-0.100812298,0.03333333333333333,-8.007910704011165
169,btc-updown-15m-1765682100,2025-12-14T03:26:50+00:00,2025-12-14T03:26:52+00:00,UP,0.145,0.195,100.0,689.655172,0.211557,0.145,0.066557,34.482759,13.950621,20.532138,34.4828,20.5321,2,success,2025-12-14T03:26:52+00:00,8034.305364,8054.837501999999,-1945.1624980000006,-1958.8395740000005,-0.19561641134751534,0.20532138,-0.09008936299999999,0.06666666666666667,-5.5661236338132705
170,btc-updown-15m-1765682100,2025-12-14T03:26:53+00:00,2025-12-14T03:27:00+00:00,UP,0.19,0.18,100.0,526.315789,0.234114,0.19,0.044114,-5.263158,11.425263,-16.688421,-5.2632,-16.6884,7,stop_loss,2025-12-14T03:27:00+00:00,8054.837501999999,8038.149081,-1961.8509190000007,-1975.5279950000004,-0.19728297407700432,-0.16688421,-0.09451270033333334,0.06666666666666667,-5.811624193804955
171,btc-updown-15m-1765682100,2025-12-14T03:27:20+00:00,2025-12-14T03:27:22+00:00,UP,0.185,0.155,100.0,540.540541,0.239744,0.185,0.054744,-16.216216,10.965405,-27.181622,-16.2162,-27.1816,1,stop_loss,2025-12-14T03:27:22+00:00,8038.149081,8010.9674589999995,-1989.0325410000007,-2002.7096170000004,-0.19999742370362017,-0.27181622,-0.10035451833333334,0.06666666666666667,-5.799504759722509
172,btc-updown-15m-1765682100,2025-12-14T03:28:46+00:00,2025-12-14T03:28:47+00:00,UP,0.1,0.105,100.0,1000.0,0.153347,0.1,0.053347,5.0,13.2462,-8.2462,5.0,-8.2462,1,success,2025-12-14T03:28:47+00:00,8010.9674589999995,8002.721258999999,-1997.2787410000008,-2010.955817000001,-0.20082091740502628,-0.082462,-0.09994594566666667,0.06666666666666667,-5.772754294665012
173,btc-updown-15m-1765682100,2025-12-14T03:28:48+00:00,2025-12-14T03:28:49+00:00,UP,0.1,0.095,100.0,1000.0,0.141694,0.1,0.041694,-5.0,12.6702,-17.6702,-5.0,-17.6702,1,stop_loss,2025-12-14T03:28:49+00:00,8002.721258999999,7985.051058999999,-2014.9489410000008,-2028.6260170000005,-0.20258552393925836,-0.17670200000000003,-0.10267870633333334,0.06666666666666667,-5.867485119439732
