trade_id,slug,entry_time,exit_time,direction,entry_price,exit_price,position_notional,quantity,p_model_up,p_market_up,alpha,gross_pnl,fees_paid,net_pnl,gross_return_pct,net_return_pct,hold_seconds,exit_type
110,btc-updown-15m-1765664100,2025-12-13T22:28:49+00:00,2025-12-13T22:28:55+00:00,DOWN,0.035,0.03,100.0,2857.142857,0.90795,0.965,-0.05705,-14.285714,12.934286,-27.22,-14.2857,-27.22,6,stop_loss
111,btc-updown-15m-1765664100,2025-12-13T22:29:01+00:00,2025-12-13T22:29:03+00:00,DOWN,0.02,0.02,100.0,5000.0,0.938163,0.98,-0.041837,0.0,14.112,-14.112,0.0,-14.112,2,timeout
112,btc-updown-15m-1765665900,2025-12-13T22:51:51+00:00,2025-12-13T22:51:52+00:00,UP,0.355,0.345,100.0,281.690141,0.399409,0.355,0.044409,-2.816901,9.227155,-12.044056,-2.8169,-12.0441,1,stop_loss
113,btc-updown-15m-1765665900,2025-12-13T22:59:20+00:00,2025-12-13T22:59:23+00:00,UP,0.375,0.105,100.0,266.666667,0.423768,0.375,0.048768,-72.0,6.30432,-78.30432,-72.0,-78.3043,1,stop_loss
114,btc-updown-15m-1765666800,2025-12-13T23:13:59+00:00,2025-12-13T23:13:59+00:00,DOWN,0.02,0.02,100.0,5000.0,0.918452,0.98,-0.061548,0.0,14.112,-14.112,0.0,-14.112,0,timeout
115,btc-updown-15m-1765667700,2025-12-13T23:24:04+00:00,2025-12-13T23:24:21+00:00,UP,0.765,0.735,100.0,130.718954,0.812941,0.765,0.047941,-3.921569,3.525176,-7.446745,-3.9216,-7.4467,10,stop_loss
116,btc-updown-15m-1765667700,2025-12-13T23:29:26+00:00,2025-12-13T23:29:31+00:00,UP,0.935,0.905,100.0,106.951872,0.99,0.935,0.055,-3.208556,1.130053,-4.33861,-3.2086,-4.3386,4,stop_loss
117,btc-updown-15m-1765667700,2025-12-13T23:29:34+00:00,2025-12-13T23:29:39+00:00,UP,0.905,0.95,100.0,110.497238,0.952742,0.905,0.047742,4.972376,1.061901,3.910475,4.9724,3.9105,5,success
118,btc-updown-15m-1765668600,2025-12-13T23:43:21+00:00,2025-12-13T23:43:22+00:00,DOWN,0.195,0.19,100.0,512.820513,0.756661,0.805,-0.048339,-2.564103,11.478462,-14.042564,-2.5641,-14.0426,1,stop_loss
119,btc-updown-15m-1765668600,2025-12-13T23:43:23+00:00,2025-12-13T23:43:24+00:00,DOWN,0.21,0.205,100.0,476.190476,0.744302,0.79,-0.045698,-2.380952,11.275714,-13.656667,-2.381,-13.6567,1,stop_loss
120,btc-updown-15m-1765668600,2025-12-13T23:43:47+00:00,2025-12-13T23:43:51+00:00,DOWN,0.18,0.045,100.0,555.555556,0.76843,0.82,-0.05157,-75.0,7.623,-82.623,-75.0,-82.623,4,stop_loss
121,btc-updown-15m-1765674000,2025-12-14T01:10:04+00:00,2025-12-14T01:10:11+00:00,UP,0.64,0.67,100.0,156.25,0.687176,0.64,0.047176,4.6875,5.079375,-0.391875,4.6875,-0.3919,4,success
122,btc-updown-15m-1765677600,2025-12-14T02:02:18+00:00,2025-12-14T02:02:27+00:00,UP,0.695,0.735,100.0,143.884892,0.748359,0.695,0.053359,5.755396,4.213813,1.541583,5.7554,1.5416,9,success
123,btc-updown-15m-1765678500,2025-12-14T02:28:11+00:00,2025-12-14T02:28:22+00:00,UP,0.895,0.935,100.0,111.731844,0.940096,0.895,0.045096,4.469274,1.244916,3.224358,4.4693,3.2244,2,success
124,btc-updown-15m-1765678500,2025-12-14T02:28:34+00:00,2025-12-14T02:28:35+00:00,UP,0.84,0.76,100.0,119.047619,0.888439,0.84,0.048439,-9.52381,2.715429,-12.239238,-9.5238,-12.2392,1,stop_loss
125,btc-updown-15m-1765678500,2025-12-14T02:28:51+00:00,2025-12-14T02:28:55+00:00,DOWN,0.265,0.23,100.0,377.358491,0.691224,0.735,-0.043776,-13.207547,10.103774,-23.311321,-13.2075,-23.3113,2,stop_loss
126,btc-updown-15m-1765678500,2025-12-14T02:29:17+00:00,2025-12-14T02:29:19+00:00,DOWN,0.195,0.135,100.0,512.820513,0.727799,0.805,-0.077201,-30.769231,10.107692,-40.876923,-30.7692,-40.8769,1,stop_loss
127,btc-updown-15m-1765678500,2025-12-14T02:29:24+00:00,2025-12-14T02:29:25+00:00,DOWN,0.11,0.095,100.0,909.090909,0.818715,0.89,-0.071285,-13.636364,12.035455,-25.671818,-13.6364,-25.6718,1,stop_loss
